TimeInSeconds,FrameTimeMs,FPS
3.10723,9.22,108.43
3.11645,8.97,111.46
3.12542,8.78,113.83
3.13420,8.79,113.72
3.14300,9.00,111.10
3.15200,9.99,100.06
3.16199,9.41,106.25
3.17141,8.63,115.86
3.18004,8.44,118.48
3.18848,8.45,118.41
3.19692,8.23,121.47
3.20515,8.88,112.59
3.21404,9.86,101.44
3.22389,12.39,80.72
3.23628,9.66,103.54
3.24594,9.66,103.49
3.25560,8.77,113.97
3.26438,9.56,104.65
3.27393,8.56,116.83
3.28249,10.21,97.99
3.29270,8.30,120.49
3.30100,9.09,109.96
3.31009,9.78,102.29
3.31987,8.90,112.33
3.32877,8.69,115.09
3.33746,9.50,105.27
3.34696,9.02,110.80
3.35598,9.18,108.93
3.36517,8.43,118.62
3.37360,9.18,108.94
3.38278,8.53,117.27
3.39130,9.14,109.46
3.40044,8.31,120.41
3.40874,8.64,115.79
3.41738,9.50,105.21
3.42688,8.52,117.39
3.43540,8.84,113.10
3.44425,8.91,112.29
3.45315,8.95,111.78
3.46210,9.74,102.70
3.47183,9.72,102.90
3.48155,9.92,100.82
3.49147,8.78,113.90
3.50025,8.56,116.87
3.50881,9.41,106.30
3.51821,9.47,105.55
3.52769,8.63,115.83
3.53632,8.57,116.64
3.54490,9.57,104.46
3.55447,8.90,112.30
3.56337,9.82,101.85
3.57319,8.91,112.23
3.58210,9.70,103.07
3.59180,8.71,114.77
3.60052,9.03,110.77
3.60954,9.35,106.98
3.61889,9.89,101.09
3.62878,8.39,119.12
3.63718,9.23,108.30
3.64641,10.10,99.05
3.65651,9.51,105.10
3.66602,8.90,112.38
3.67492,8.59,116.41
3.68351,8.88,112.67
3.69239,9.03,110.70
3.70142,9.90,100.99
3.71132,8.76,114.19
3.72008,8.77,114.09
3.72884,9.44,105.92
3.73829,9.84,101.63
3.74813,9.42,106.14
3.75755,8.84,113.17
3.76638,8.34,119.94
3.77472,8.95,111.75
3.78367,9.03,110.69
3.79270,9.95,100.53
3.80265,11.49,86.99
3.81415,8.65,115.57
3.82280,8.07,123.91
3.83087,9.14,109.37
3.84001,9.40,106.42
3.84941,9.22,108.51
3.85863,8.18,122.18
3.86681,10.07,99.26
3.87689,13.58,73.63
3.89047,7.68,130.14
3.89815,10.91,91.68
3.90906,8.01,124.80
3.91707,9.09,110.00
3.92616,8.65,115.66
3.93481,8.75,114.34
3.94355,8.95,111.78
3.95250,9.40,106.34
3.96190,9.70,103.14
3.97160,10.04,99.58
3.98164,9.65,103.66
3.99129,9.20,108.75
4.00048,8.65,115.57
4.00914,9.49,105.42
4.01862,9.16,109.18
4.02778,8.54,117.05
4.03632,8.37,119.41
4.04470,8.04,124.41
4.05274,8.86,112.82
4.06160,8.60,116.22
4.07020,10.17,98.28
4.08038,9.84,101.61
4.09022,9.67,103.36
4.09990,8.61,116.10
4.10851,9.90,101.05
4.11840,9.77,102.40
4.12817,9.33,107.18
4.13750,8.79,113.82
4.14629,9.05,110.56
4.15533,9.46,105.68
4.16479,8.00,125.02
4.17279,8.66,115.48
4.18145,9.95,100.49
4.19140,8.63,115.87
4.20003,9.31,107.39
4.20934,9.29,107.64
4.21863,8.91,112.23
4.22754,9.19,108.83
4.23673,9.63,103.79
4.24637,8.94,111.83
